"%d unsuccessful two factor authentication attempts have been made for '%s' with a user id of '%d'.  Last detected authentication attempt was detected on '%s' at '%s UTC'.  A %d minute block has been set to the account.  The account in question and all other admins in the 'Administrator' role have been notified about this block.","%d неудачных попыток проверки двух факторов для '%s' с идентификатором пользователя '%d'. Последняя обнаруженная попытка аутентификации была обнаружена на '%s' в «%s UTC». Для учетной записи был установлен блок %d минут. Указанный счет и все другие администраторы в роли «Администратор» были уведомлены об этом блоке."
"%d unsuccessful two factor authentication attempts have been made to log into your account. If this was not you, please contact your system administrators immediately.  Additional emails have been sent to the administrators regarding this failed authentication attempt.  If this was you, you can attempt to authenticate your account again in %d minutes.","%d неудачные попытки двух попыток аутентификации были сделаны для входа в вашу учетную запись. Если это не вы, немедленно свяжитесь со своими системными администраторами. Дополнительные административные сообщения были отправлены администратору относительно этой неудачной попытки аутентификации. Если это вы, вы можете попытаться снова аутентифицировать свою учетную запись в %d minutes."
"6 Digit Pin","6 Digit Pin"
"Account Setup","Настройка учетной записи"
"Account blocked, failed two factor authentication","Учетная запись заблокирована, не удалось проверить два фактора"
"An account was blocked","Учетная запись заблокирована"
"Back","назад"
"Backup Code","Код резервной копии"
"Blocked %s with user id %d on ip address %s","Заблокировано %s с идентификатором пользователя %d на ip-адрес %s"
"Complete Setup","Полная настройка"
"Continue","Продолжать"
"Emails have been sent to all administrators regarding this failed attempt to authenticate. An additional email has been sent to the owner of the account.","Письма всем администраторам были отправлены по этой неудачной попытке аутентификации. Дополнительное письмо было отправлено владельцу учетной записи."
"If you are the genuine owner of this account and you got blocked, it's okay! Just wait %s minutes and you can try to authenticate again. Please remember that this is for your own good, it's better to be safe than sorry.","Если вы являетесь подлинным владельцем этой учетной записи, и вы заблокированы, все в порядке! Просто подождите %s минут, и вы можете попытаться снова аутентифицироваться. Пожалуйста, помните, что это для вашего же блага, лучше быть в безопасности, чем сожалеть."
"In order to setup two-factor authentication for this account, download and install an authentication app.  We suggest %s which is available for both %s and %s.","Чтобы настроить двухфакторную аутентификацию для этой учетной записи, загрузите и установите приложение для проверки подлинности. Мы предлагаем %s, доступную как для %s, так и для %s."
"JetRails TwoFactor","JetRails TwoFactor"
"JetRails®","JetRails®"
"Open your authentication app and add a new account by scanning the QR code or entering in %s manually. Continue to the next step to verify setup.","Откройте приложение для проверки подлинности и добавьте новую учетную запись, сканируя QR-код или вручную в %s. Перейдите к следующему шагу, чтобы проверить настройку."
"Remember for 7 days","Запомнить 7 дней"
"Reset","Сброс"
"Reset Two Factor Authentication","Сброс двухфакторной аутентификации"
"Step 1","Шаг 1"
"Step 2","Шаг 2"
"Step 3","Шаг 3"
"Step 4","Шаг 4"
"The 8-digit codes below serve as backup codes.  If you lose access to your authentication device, you can still get into your account using these codes.  Please print out these codes and keep them in a safe location.  Each code can be utilized one time only.","8-значные коды ниже служат резервными кодами. Если вы потеряете доступ к устройству аутентификации, вы все равно можете войти в свою учетную запись, используя эти коды. Пожалуйста, распечатайте эти коды и держите их в надежном месте. Каждый код может использоваться только один раз."
"To confirm that you set up your authentication successfully, enter in the 6-digit time sensitive pin associated with your account.","Чтобы подтвердить успешную настройку вашей аутентификации, введите 6-значный синхронизирующий контакт, связанный с вашей учетной записью."
"Two Factor Authentication","Двухфакторная аутентификация"
"Verification Pin","Контрольный контакт"
"Verify","проверить"
"Will be logged out and prompted to setup on next login","Будет выведен из системы и будет предложено настроить при следующем входе в систему"
"You failed to enter in a valid verification pin and/or backup code. The maximum number of failed attempts that is allowed is %s in a span of %s minutes.","Вы не смогли ввести действительный контрольный PIN-код и / или резервный код. Максимальное количество неудачных попыток, которые разрешены, составляет %s в промежутке в %s минут."